Dataset,Layer1,Layer2,Layer3,Layer4
1.0,0.5949099063873291,0.347654640674591,0.131708413362503,0.3036638498306274
2.0,0.5558145046234131,0.3231272101402282,0.1074940115213394,0.1815200597047805
3.0,0.571574330329895,0.3441140651702881,0.1262198984622955,0.2344986498355865
4.0,0.5007480382919312,0.2721827328205108,0.1081754565238952,0.2223411053419113
5.0,0.499512642621994,0.2740314602851867,0.1104219406843185,0.1544572860002517
6.0,0.4962109327316284,0.307960957288742,0.0940520465373992,0.1856209486722946
7.0,0.4757455289363861,0.2781363427639007,0.0797069668769836,0.1916416436433792
8.0,0.5208255648612976,0.2830365300178528,0.1018844321370124,0.246112510561943
9.0,0.49794936180114746,0.26405733823776245,0.09802670776844025,0.1462193727493286
